< 1m,2016-09-20,TCSERVER01,ADCBuddyhandler,2813250,25.9405303717
> 1m - 2m,2016-09-20,TCSERVER01,ADCBuddyhandler,1001907,9.2384249402
> 2m - 3m,2016-09-20,TCSERVER01,ADCBuddyhandler,752439,6.9381202283
> 3m - 5m,2016-09-20,TCSERVER01,ADCBuddyhandler,800374,7.3801212319
> 5m - 10m,2016-09-20,TCSERVER01,ADCBuddyhandler,985232,9.0846674199
> 10m - 15m,2016-09-20,TCSERVER01,ADCBuddyhandler,798050,7.3586919979
> 15m - 20m,2016-09-20,TCSERVER01,ADCBuddyhandler,592372,5.4621679045
> 20m - 30m,2016-09-20,TCSERVER01,ADCBuddyhandler,848731,7.8260134303
> 30m,2016-09-20,TCSERVER01,ADCBuddyhandler,2252643,20.7712624751
TOTAL,2016-09-20,TCSERVER01,ADCBuddyhandler,10844998,100
< 1m,2016-09-20,TCSERVER01,ADCTNThandler,3185453,46.0736312473
> 1m - 2m,2016-09-20,TCSERVER01,ADCTNThandler,1605951,23.2280916326
> 2m - 3m,2016-09-20,TCSERVER01,ADCTNThandler,922836,13.3476794559
> 3m - 5m,2016-09-20,TCSERVER01,ADCTNThandler,728662,10.5391931044
> 5m - 10m,2016-09-20,TCSERVER01,ADCTNThandler,470929,6.8114045599
> 10m - 15m,2016-09-20,TCSERVER01,ADCTNThandler,0,0.0000000000
> 15m - 20m,2016-09-20,TCSERVER01,ADCTNThandler,0,0.0000000000
> 20m - 30m,2016-09-20,TCSERVER01,ADCTNThandler,0,0.0000000000
> 30m,2016-09-20,TCSERVER01,ADCTNThandler,0,0.0000000000
TOTAL,2016-09-20,TCSERVER01,ADCTNThandler,6913831,100
< 1m,2016-09-20,TCSERVER01,CDRAdapter,15066540,77.3904779839
> 1m - 2m,2016-09-20,TCSERVER01,CDRAdapter,4401669,22.6095220161
> 2m - 3m,2016-09-20,TCSERVER01,CDRAdapter,0,0.0000000000
> 3m - 5m,2016-09-20,TCSERVER01,CDRAdapter,0,0.0000000000
> 5m - 10m,2016-09-20,TCSERVER01,CDRAdapter,0,0.0000000000
> 10m - 15m,2016-09-20,TCSERVER01,CDRAdapter,0,0.0000000000
> 15m - 20m,2016-09-20,TCSERVER01,CDRAdapter,0,0.0000000000
> 20m - 30m,2016-09-20,TCSERVER01,CDRAdapter,0,0.0000000000
> 30m,2016-09-20,TCSERVER01,CDRAdapter,0,0.0000000000
TOTAL,2016-09-20,TCSERVER01,CDRAdapter,19468209,100
< 1m,2016-09-20,TCSERVER01,Notification,426756,100.0000000000
> 1m - 2m,2016-09-20,TCSERVER01,Notification,0,0.0000000000
> 2m - 3m,2016-09-20,TCSERVER01,Notification,0,0.0000000000
> 3m - 5m,2016-09-20,TCSERVER01,Notification,0,0.0000000000
> 5m - 10m,2016-09-20,TCSERVER01,Notification,0,0.0000000000
> 10m - 15m,2016-09-20,TCSERVER01,Notification,0,0.0000000000
> 15m - 20m,2016-09-20,TCSERVER01,Notification,0,0.0000000000
> 20m - 30m,2016-09-20,TCSERVER01,Notification,0,0.0000000000
> 30m,2016-09-20,TCSERVER01,Notification,0,0.0000000000
TOTAL,2016-09-20,TCSERVER01,Notification,426756,100
< 1m,2016-09-20,TCSERVER01,ServiceEventHandler,1709380,100.0000000000
> 1m - 2m,2016-09-20,TCSERVER01,ServiceEventHandler,0,0.0000000000
> 2m - 3m,2016-09-20,TCSERVER01,ServiceEventHandler,0,0.0000000000
> 3m - 5m,2016-09-20,TCSERVER01,ServiceEventHandler,0,0.0000000000
> 5m - 10m,2016-09-20,TCSERVER01,ServiceEventHandler,0,0.0000000000
> 10m - 15m,2016-09-20,TCSERVER01,ServiceEventHandler,0,0.0000000000
> 15m - 20m,2016-09-20,TCSERVER01,ServiceEventHandler,0,0.0000000000
> 20m - 30m,2016-09-20,TCSERVER01,ServiceEventHandler,0,0.0000000000
> 30m,2016-09-20,TCSERVER01,ServiceEventHandler,0,0.0000000000
TOTAL,2016-09-20,TCSERVER01,ServiceEventHandler,1709380,100
< 1m,2016-09-20,TCSERVER01,SMSGateway,252322,100.0000000000
> 1m - 2m,2016-09-20,TCSERVER01,SMSGateway,0,0.0000000000
> 2m - 3m,2016-09-20,TCSERVER01,SMSGateway,0,0.0000000000
> 3m - 5m,2016-09-20,TCSERVER01,SMSGateway,0,0.0000000000
> 5m - 10m,2016-09-20,TCSERVER01,SMSGateway,0,0.0000000000
> 10m - 15m,2016-09-20,TCSERVER01,SMSGateway,0,0.0000000000
> 15m - 20m,2016-09-20,TCSERVER01,SMSGateway,0,0.0000000000
> 20m - 30m,2016-09-20,TCSERVER01,SMSGateway,0,0.0000000000
> 30m,2016-09-20,TCSERVER01,SMSGateway,0,0.0000000000
